ISO_code,total,avg_firearm_per_100,rank_rate_ownership,percent_of_homicides_by_firearm,number_of_homicides_by_firearm,homicide_rate_100000
ALB,270000,8.6,70,65.9,56,1.76
DZZ,1900000,7.6,78,4.8,20,0.06
AGO,2800000,17.3,34,,,
ARG,3950000,10.2,62,52,1198,3.02
ARM,380000,12.5,52,13,9,0.29
AUS,3050000,15,42,11.5,30,0.14
AUT,2500000,30.4,14,29.5,18,0.22
AZE,290000,3.5,115,6.5,11,0.12
BHS,17000,5.3,98,61.2,52,15.37
BHR,180000,24.8,18,0,0,0
BGD,700000,0.5,169,43.6,1456,1.12
BRB,21000,7.8,76,40,8,2.99
BLR,710000,7.3,79,2.5,12,0.12
BEL,1800000,17.2,34,39.5,70,0.68
BLZ,29000,10,62,52.3,68,21.82
BEN,120000,1.4,137,,,
BTN,22000,3.5,115,,,
BOL,260000,2.8,119,,,
BIH,675000,17.3,34,24.7,18,0.48
BWA,87000,4.9,102,,,
BRA,14840000,8,75,70.8,34678,18.1
BRN,5400,1.4,137,0,0,0
BGR,480000,6.2,88,29.7,51,0.67
BFA,148000,1.1,149,,,
BDI,200000,1.2,145,,,
KHM,600000,4.3,109,36.7,187,1.44
CMR,340000,2.8,119,,,
CAN,9950000,30.8,13,32,173,0.51
CPV,9500,5.4,96,,,
CAF,40000,1,153,,,
TCD,109000,1.1,149,,,
CHL,1750000,10.7,59,37.3,353,2.16
CHN,40000000,4.9,102,,,
COL,2700000,5.9,91,81.1,12539,27.09
COM,11000,1.8,127,,,
COG,100000,2.7,122,,,
COD,800000,1.4,137,33.2,248,1.56
CRI,430000,9.9,64,57.3,201,4.59
CIV,400000,2.4,124,,,
HRV,950000,21.7,26,34.7,17,0.39
CUB,545000,4.8,104,4.4,27,0.24
CYP,275000,36.4,6,26.3,5,0.46
CZE,1600000,16.3,38,11,20,0.19
DNK,650000,12,54,31.9,15,0.27
DJI,22000,2.8,119,,,
DOM,450000,5.1,99,65.5,1618,16.3
TL,3000,0.3,177,,,
ECU,370000,1.3,142,68.7,1790,12.73
EGY,1900000,3.5,115,69.1,453,0.57
SLV,400000,5.8,92,76.9,2446,39.9
GBR,4060000,6.2,88,6.6,41,0.07
GNQ,100000,19.9,29,,,
ERI,20000,0.5,169,,,
EST,123000,9.2,65,3.9,3,0.24
ETH,320000,0.4,174,,,
FJI,4000,0.5,169,,,
FIN,2400000,45.3,4,19.8,24,0.45
FRA,19000000,31.2,12,9.6,35,0.06
GAB,190000,14,46,,,
GMB,123000,0.8,157,,,
GEO,330000,7.3,79,13.3,24,0.55
DEU,25000000,30.3,15,26.3,158,0.19
GHA,80000,0.4,174,,,
GRC,2500000,22.5,23,34.9,29,0.26
GTM,1650000,13.1,49,84,5009,34.81
GIN,110000,1.2,145,,,
GNB,25000,1.6,129,,,
GUY,110000,14.6,45,61.3,85,11.46
HTI,190000,0.6,164,,,
HND,500000,6.2,88,83.4,5201,68.43
HUN,560000,5.5,93,5,7,0.07
ISL,90000,30.3,15,0,0,0
IND,46000000,4.2,110,7.6,3093,0.26
IDN,1000000,0.5,169,,,
IRN,3500000,7.3,79,,,
IRQ,9750000,34.2,8,,,
IRL,360000,8.6,70,42,21,0.48
ISR,500000,7.3,79,11.7,6,0.09
ITA,7000000,11.9,55,66.7,417,0.71
JAM,215000,8.1,74,75.6,1080,39.4
JPN,710000,0.6,164,1.8,11,0.01
JOR,630000,11.5,58,38.8,26,0.49
KAZ,200000,1.3,142,12.5,210,1.34
KEN,740000,6.4,86,,,
PRK,130000,0.6,164,,,
KOR,510000,1.1,149,1.7,14,0.03
XK,415000,19.5,30,,,
KWT,630000,24.8,18,,,
KGZ,45000,0.9,156,8.3,28,0.54
LAO,71000,1.2,145,,,
LVA,280000,19,32,4.6,5,0.22
LBN,750000,21,28,36.5,31,0.76
LSO,47000,2.7,122,,,
LBR,51000,1.6,129,13.2,17,0.43
LBY,900000,15.5,40,,,
LTU,135000,0.7,160,2.5,6,0.18
LUX,70000,15.3,41,42.9,3,0.62
MKD,490000,24.1,20,62.5,25,1.21
MDG,150000,0.8,157,,,
MWI,92000,0.7,160,,,
MYS,370000,1.5,133,13.4,64,0.24
MDV,21000,6.5,85,62.5,5,1.63
MLI,143000,1.1,149,,,
MLT,48000,11.9,55,0,0,0
MRT,50000,1.6,129,,,
MUS,180000,14.7,44,2,1,0.1
MEX,15500000,15,42,54.9,11309,9.97
MDA,300000,7.1,83,3.3,8,0.22
MNG,50000,1.9,126,1.4,3,0.11
MNE,150000,23.1,21,,,
MAR,1500000,5,101,,,
MOZ,1000000,5.1,99,,,
MMR,2000000,4,111,,,
NAM,260000,12.6,51,,,
NPL,205000,0.8,159,13.3,84,0.3
NLD,510000,3.9,112,30.7,55,0.33
NZL,925000,22.6,22,13.5,7,0.16
NIC,395000,7.7,77,42.1,338,5.92
NER,93000,0.7,160,,,
NGA,2000000,1.5,133,,,
2,380000,21.9,25,4.5,5,0.28
NOR,1400000,31.3,11,8.1,2,0.05
OMN,650000,25.4,17,,,
PAK,18000000,11.6,57,,,
PAN,700000,21.7,26,75,569,16.18
PNG,71000,1.2,145,,,
PRY,1000000,17,37,56.1,466,7.35
PER,750000,18.8,33,50.8,757,2.63
PHL,3900000,4.7,105,49.9,7349,8.93
POL,510000,1.3,142,7.1,35,0.09
PRT,900000,8.5,72,33.8,44,0.41
QAT,520100,19.2,31,16.7,1,0.14
ROU,160000,0.7,160,1.3,5,0.02
RUS,12750000,8.9,68,,,
RWA,58000,0.6,164,,,
SAU,6000000,35,7,,,
3,280000,5.5,93,,,
SEN,230000,2,125,,,
SRB,3050000,37.8,5,33.1,45,0.46
SYC,4600,5.4,96,,,
SLE,34000,0.6,164,87.7,128,2.28
SGP,22000,0.5,169,5.9,1,0.02
SVK,450000,8.3,73,11.2,10,0.18
SVN,270000,13.5,47,15.4,2,0.1
SLB,1800,0.4,174,0,0,0
SOM,750000,9.1,66,,,
ZAF,5950000,12.7,50,45,8319,17.03
ESP,4500000,10.4,61,21.8,90,0.2
LKA,300000,1.5,133,21.1,291,1.48
SDN,2000000,5.5,93,,,
SUR,60000,13.4,48,,,
SWZ,72000,6.4,86,,,
SWE,2800000,31.6,10,33.9,37,0.41
CHE,3400000,45.7,3,72.2,57,0.77
SYR,735000,3.9,112,,,
TWN,725000,4.4,106,15.9,128,0.56
TJK,65000,1,153,15.6,15,0.22
TZA,550000,1.4,137,,,
THA,10000000,15.6,39,,,
TGO,60000,1,153,,,
TTO,21000,1.6,129,72.1,365,27.31
TUN,9000,0.1,178,,,
TUR,9000000,12.5,52,16.9,535,0.77
TKM,180000,3.8,114,2.4,5,0.1
UGA,400000,1.4,137,10.5,280,0.87
UKR,3100000,6.6,84,4.5,100,0.22
ARE,1000000,22.1,24,,,
USA,270000000,88.8,1,60,9146,2.97
URY,1100000,31.8,9,46.5,93,2.8
UZB,1200000,1.5,133,,,
VEN,2850000,10.7,59,79.5,11115,38.97
VNM,1100000,1.7,128,52.9,834,0.99
PS,125000,3.4,118,72.4,105,2.95
YEM,11500000,54.8,2,,,
ZMB,230000,8.9,68,11.7,28,0.35
ZWE,400000,4.4,106,65.6,598,4.78
PRI,,,,94.8,,18.3
